                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3228,                 4.2387,                 4.2367,                0.00174,                0.52174,                0.00156,                0.00054,                 2.9392,                  4.427,                 4.1362,                 0.0883,                 0.0013,                 0.0013
                      1,                 3.0297,                 4.1518,                 3.8581,                0.00174,                0.52174,                0.00216,                0.00063,                 2.9188,                 4.2961,                 4.1071,               0.074809,               0.001809,               0.001809
                      2,                 3.3601,                 4.0353,                 4.1139,                0.00174,                0.52174,                0.00162,                0.00054,                 2.9076,                 4.2258,                 4.0787,               0.060394,               0.001394,               0.001394
