                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.562,                 1.5292,                 2.0857,                0.68428,                0.84846,                0.86564,                0.51866,                 1.5183,                 1.7389,                   2.08,               0.006733,               0.006733,               0.006733
                     35,                 1.6036,                 1.3268,                 2.1605,                0.91794,                0.82609,                 0.9393,                0.56583,                 1.5705,                 1.2462,                 2.1559,               0.006634,               0.006634,               0.006634
                     36,                 1.8058,                 1.4198,                 2.2362,                0.87324,                0.86957,                   0.94,                0.53828,                 1.4812,                 1.3502,                 1.9778,               0.006535,               0.006535,               0.006535
                     37,                 1.7488,                  1.305,                 2.1869,                0.80551,                0.90071,                0.92139,                  0.548,                 1.4386,                 1.6621,                  2.006,               0.006436,               0.006436,               0.006436
                     38,                 1.5685,                 1.2296,                 2.0822,                0.90916,                0.87029,                  0.963,                0.56388,                 1.4867,                  1.224,                 2.0132,               0.006337,               0.006337,               0.006337
                     39,                 1.6221,                 1.3093,                  2.105,                0.87177,                0.88717,                0.94442,                0.60743,                 1.3859,                 1.0721,                 1.8484,               0.006238,               0.006238,               0.006238
                     40,                 1.5402,                  1.357,                 2.0022,                0.80787,                      1,                0.94401,                0.62513,                  1.359,                 1.0222,                 1.8308,               0.006139,               0.006139,               0.006139
                     41,                 1.6657,                 1.2057,                 2.1121,                0.91863,                0.98214,                0.99006,                 0.6669,                 1.2403,                 1.0019,                 1.7214,                0.00604,                0.00604,                0.00604
                     42,                 1.5519,                 1.1274,                 1.9778,                0.97126,                0.86957,                0.97132,                0.62953,                 1.2663,                  1.201,                 1.7867,               0.005941,               0.005941,               0.005941
                     43,                 1.5491,                 1.2658,                  2.048,                0.96452,                0.65217,                0.87703,                0.56621,                 1.2684,                  1.394,                 1.7553,               0.005842,               0.005842,               0.005842
                     44,                 1.5134,                 1.1849,                 1.9517,                0.66028,                0.95652,                  0.894,                0.57694,                 1.2896,                 1.2538,                 1.7604,               0.005743,               0.005743,               0.005743
                     45,                 1.5179,                 1.1002,                 1.9775,                0.74675,                0.95652,                0.91779,                0.60018,                 1.2479,                 1.1163,                 1.7095,               0.005644,               0.005644,               0.005644
                     46,                 1.3754,                 1.1791,                 1.9511,                0.91243,                 0.9063,                0.97435,                 0.6445,                 1.2128,                0.95878,                 1.6605,               0.005545,               0.005545,               0.005545
                     47,                 1.5641,                 1.1154,                 1.9112,                0.92122,                0.86957,                0.96365,                0.57499,                 1.3787,                  1.008,                 1.8059,               0.005446,               0.005446,               0.005446
                     48,                 1.4408,                 1.1128,                 1.8939,                0.81033,                0.92917,                0.95661,                0.59944,                 1.2864,                 1.0734,                 1.7305,               0.005347,               0.005347,               0.005347
                     49,                 1.4478,                  1.067,                 1.9661,                0.90062,                0.95652,                0.94575,                0.65091,                 1.1698,                0.92089,                 1.6075,               0.005248,               0.005248,               0.005248
                     50,                 1.4263,                 1.2172,                 1.8538,                 0.9754,                0.95652,                0.98672,                0.69402,                 1.0615,                0.83339,                 1.4967,               0.005149,               0.005149,               0.005149
                     51,                 1.4003,                 1.0285,                 1.8576,                0.75718,                0.91304,                0.92598,                0.66457,                 1.0478,                 1.2686,                 1.5052,                0.00505,                0.00505,                0.00505
                     52,                 1.3005,                 1.0396,                 1.8094,                0.94697,                0.77661,                0.93121,                0.65597,                 1.1813,                 1.2696,                 1.6159,               0.004951,               0.004951,               0.004951
                     53,                 1.2841,                0.99291,                 1.7779,                0.84043,                      1,                0.96331,                0.66062,                 1.1647,                0.90349,                 1.6312,               0.004852,               0.004852,               0.004852
                     54,                 1.3502,                 1.0284,                 1.7987,                0.84842,                0.97384,                0.97464,                0.66702,                 1.1832,                 0.9322,                 1.6338,               0.004753,               0.004753,               0.004753
                     55,                 1.4335,                  1.042,                 1.8405,                 0.9524,                      1,                0.97167,                  0.689,                 1.0908,                0.81503,                 1.5412,               0.004654,               0.004654,               0.004654
                     56,                 1.2468,                0.91958,                 1.7228,                0.91632,                      1,                 0.9846,                0.71049,                 1.1071,                0.81663,                 1.5359,               0.004555,               0.004555,               0.004555
                     57,                 1.1525,                0.93137,                 1.5996,                0.94911,                      1,                0.99333,                0.67239,                 1.1547,                0.86453,                 1.6017,               0.004456,               0.004456,               0.004456
                     58,                 1.1682,                0.91984,                 1.6649,                0.95699,                      1,                0.99333,                0.69542,                 1.0849,                0.81034,                 1.5477,               0.004357,               0.004357,               0.004357
                     59,                 1.3223,                0.99856,                 1.7152,                0.91108,                0.89148,                0.96608,                0.70856,                 1.0817,                0.94978,                 1.5299,               0.004258,               0.004258,               0.004258
                     60,                 1.1511,                  0.971,                  1.622,                0.96698,                0.95652,                0.99333,                0.67133,                 1.0477,                0.79599,                 1.4939,               0.004159,               0.004159,               0.004159
                     61,                 1.3385,                0.99631,                 1.7406,                      1,                 0.9518,                0.99038,                0.69311,                 1.0806,                0.74095,                 1.4536,                0.00406,                0.00406,                0.00406
                     62,                 1.2648,                0.90965,                 1.7548,                0.99615,                      1,                  0.995,                0.71105,                 1.0096,                0.68545,                 1.4681,               0.003961,               0.003961,               0.003961
                     63,                   1.08,                0.81951,                 1.5927,                0.99288,                0.95652,                0.99333,                0.68394,                  1.039,                0.72423,                 1.4984,               0.003862,               0.003862,               0.003862
                     64,                 1.1846,                0.99507,                 1.7266,                0.98343,                      1,                  0.995,                 0.7264,                0.99646,                0.71176,                 1.4556,               0.003763,               0.003763,               0.003763
                     65,                 1.1758,                0.90406,                 1.6054,                0.94967,                      1,                0.99333,                0.70525,                  1.033,                0.78617,                 1.5038,               0.003664,               0.003664,               0.003664
                     66,                 1.1354,                0.84032,                  1.605,                0.95645,                0.95504,                 0.9805,                0.71059,                0.94395,                0.78764,                 1.4116,               0.003565,               0.003565,               0.003565
                     67,                 1.1723,                0.87962,                 1.6773,                0.99513,                      1,                  0.995,                0.74883,                0.96496,                0.70479,                 1.3883,               0.003466,               0.003466,               0.003466
                     68,                 1.0688,                0.83876,                 1.5572,                0.99335,                      1,                  0.995,                0.76006,                0.90049,                 0.7193,                 1.3775,               0.003367,               0.003367,               0.003367
                     69,                  1.046,                0.86466,                 1.5549,                      1,                0.99244,                  0.995,                0.75272,                0.93911,                0.66505,                 1.3739,               0.003268,               0.003268,               0.003268
                     70,                 1.1269,                 0.8254,                 1.6245,                0.94967,                      1,                0.98958,                0.73118,                0.98877,                0.71751,                 1.4561,               0.003169,               0.003169,               0.003169
                     71,                  1.105,                0.86849,                 1.5818,                0.91999,                0.99986,                 0.9886,                0.71519,                 1.0298,                 0.6864,                 1.4739,                0.00307,                0.00307,                0.00307
                     72,                 1.1649,                0.86991,                 1.5833,                0.88088,                      1,                0.98288,                 0.7241,                 1.0428,                0.70699,                 1.4695,               0.002971,               0.002971,               0.002971
                     73,                 1.0225,                0.81996,                 1.4994,                 0.8763,                      1,                 0.9781,                0.74338,                0.95671,                0.69016,                 1.4307,               0.002872,               0.002872,               0.002872
                     74,                 1.0023,                0.79332,                 1.4717,                0.91881,                0.98453,                 0.9886,                 0.7593,                0.93835,                0.67348,                 1.4283,               0.002773,               0.002773,               0.002773
                     75,                 1.0283,                0.81003,                 1.5171,                0.91808,                      1,                 0.9746,                0.69127,                0.98601,                0.66718,                 1.4594,               0.002674,               0.002674,               0.002674
                     76,                 1.0985,                0.78863,                 1.5415,                0.91693,                      1,                0.98615,                0.73514,                0.94589,                0.63446,                 1.4015,               0.002575,               0.002575,               0.002575
                     77,                 1.1171,                0.87245,                 1.6285,                0.91614,                      1,                0.98615,                0.72542,                0.91175,                 0.6333,                 1.3445,               0.002476,               0.002476,               0.002476
                     78,                 0.9901,                0.78457,                 1.4729,                0.95421,                      1,                0.99333,                0.75178,                0.91085,                0.62744,                 1.3768,               0.002377,               0.002377,               0.002377
                     79,                0.98265,                0.75974,                 1.4505,                0.95208,                      1,                0.99333,                0.76545,                0.90979,                0.60903,                 1.3629,               0.002278,               0.002278,               0.002278
                     80,                 1.1319,                0.84534,                  1.584,                0.94895,                      1,                0.98792,                0.76378,                0.90504,                0.62077,                 1.3832,               0.002179,               0.002179,               0.002179
                     81,                0.97859,                0.74594,                 1.4815,                0.95369,                      1,                0.99167,                0.76475,                0.88264,                 0.6336,                 1.3292,                0.00208,                0.00208,                0.00208
                     82,                 1.1653,                0.85617,                 1.4552,                0.95014,                      1,                0.99333,                0.74611,                0.93071,                0.63217,                 1.3682,               0.001981,               0.001981,               0.001981
                     83,                 1.0153,                0.77857,                  1.456,                      1,                0.99218,                  0.995,                0.75516,                0.90394,                0.61446,                 1.3568,               0.001882,               0.001882,               0.001882
                     84,                0.95985,                 0.7452,                 1.4581,                0.95342,                      1,                0.99333,                0.75418,                 0.9088,                0.61883,                 1.3347,               0.001783,               0.001783,               0.001783
                     85,                0.92477,                0.70481,                  1.458,                0.99641,                      1,                  0.995,                0.77886,                0.83881,                0.61884,                 1.2892,               0.001684,               0.001684,               0.001684
