                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1871,                 1.0651,                 1.6871,                0.87841,                0.78313,                0.88257,                0.64737,                 1.0169,                 2.0379,                 1.4975,               0.007822,               0.007822,               0.007822
                     35,                 1.1812,                 1.0842,                 1.6948,                0.94895,                0.75904,                0.86541,                0.59482,                 1.0582,                 1.1918,                 1.5272,               0.007756,               0.007756,               0.007756
                     36,                 1.1739,                  1.108,                 1.7056,                0.90925,                0.78313,                 0.8668,                0.61909,                 1.0087,                 1.9806,                 1.4473,                0.00769,                0.00769,                0.00769
                     37,                 1.1586,                  1.048,                 1.6889,                 0.8348,                0.86747,                0.87599,                0.63548,                0.92329,                  2.431,                  1.378,               0.007624,               0.007624,               0.007624
                     38,                 1.1422,                 1.0369,                 1.6644,                0.93037,                0.80494,                0.88618,                0.63048,                 1.0848,                 1.8713,                 1.5116,               0.007558,               0.007558,               0.007558
                     39,                   1.13,                 1.0638,                 1.6582,                0.91654,                0.84337,                0.90134,                0.65853,                0.90007,                 1.7476,                 1.3581,               0.007492,               0.007492,               0.007492
                     40,                 1.1327,                 1.0346,                 1.6581,                0.95217,                0.77108,                0.85749,                0.61509,                 1.0705,                 1.5916,                 1.5463,               0.007426,               0.007426,               0.007426
                     41,                 1.1082,                 1.0033,                 1.6242,                 0.8417,                0.80723,                0.84913,                0.60312,                 1.0038,                 2.1492,                 1.4959,                0.00736,                0.00736,                0.00736
                     42,                 1.1255,                0.99999,                 1.6434,                0.94548,                0.83583,                0.89419,                0.62802,                 1.0307,                 1.3074,                 1.4636,               0.007294,               0.007294,               0.007294
                     43,                 1.0835,                0.94557,                 1.6136,                0.91949,                0.82567,                0.86506,                0.65034,                 1.0171,                 2.0888,                 1.4667,               0.007228,               0.007228,               0.007228
                     44,                 1.1034,                 0.9798,                 1.6256,                0.88072,                0.81928,                0.87319,                0.60213,                 1.3604,                 3.1067,                 1.7429,               0.007162,               0.007162,               0.007162
                     45,                 1.0539,                0.95033,                 1.5565,                0.85554,                0.83133,                0.87155,                0.64514,                0.99621,                 1.3902,                 1.5063,               0.007096,               0.007096,               0.007096
